,model_type,k,N,min_val_er,last_val_er,num_params,epoch
10,CifarDenseMin,12,100,4.359999999999998,4.390000000000005,751786.0,299
3,CifarDenseMin,12,100,4.569999999999997,4.620000000000002,751786.0,299
2,CifarDenseMin,12,100,4.590000000000005,4.64,751786.0,299
14,CifarDenseNet,12,100,4.6599999999999975,4.74,769162.0,299
15,CifarDenseNet,12,100,4.559999999999997,4.759999999999998,769162.0,299
0,CifarDenseNet,12,100,4.649999999999999,4.859999999999998,769162.0,299
11,CifarDenseMin,12,58,5.469999999999997,5.620000000000003,298564.0,299
8,CifarDenseMin,12,58,5.459999999999998,5.630000000000002,298564.0,299
6,CifarDenseNet,12,58,5.510000000000003,5.720000000000002,314470.0,299
17,CifarDenseNet,12,58,5.669999999999997,5.74,314470.0,299
16,CifarDenseMin,12,58,5.5899999999999945,5.75,298564.0,299
7,CifarDenseNet,12,58,5.779999999999996,6.25,314470.0,299
5,CifarDenseMin,12,22,8.720000000000006,9.030000000000005,57040.0,299
1,CifarDenseMin,12,22,8.720000000000006,9.299999999999997,57040.0,299
9,CifarDenseMin,12,22,8.889999999999997,9.330000000000005,57040.0,299
12,CifarDenseNet,12,22,9.370000000000001,9.57,71686.0,299
13,CifarDenseNet,12,22,9.27,9.770000000000001,71686.0,299
4,CifarDenseNet,12,22,9.519999999999996,9.940000000000005,71686.0,299
